"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"373949","12189.299432","195.73.151.50","172.16.113.84","TELNET","60","","Telnet Data ..."
"373950","12189.299877","172.16.113.84","195.73.151.50","TELNET","60","","Telnet Data ..."
"373951","12189.318287","195.73.151.50","172.16.113.84","TCP","60","","12353  >  23 [ACK] Seq=1044 Ack=24687 Win=32120 Len=0"
"373952","12189.353991","207.230.54.203","172.16.112.100","TCP","60","","1050  >  25 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"373953","12189.354149","172.16.112.100","207.230.54.203","TCP","60","","25  >  1050 [SYN, ACK] Seq=0 Ack=1 Win=8760 Len=0 MSS=1460"
"373954","12189.357088","207.230.54.203","172.16.112.100","TCP","60","","1050  >  25 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"373955","12189.359127","172.16.112.100","172.16.112.20","DNS","87","","Standard query 0x000c PTR 203.54.230.207.in-addr.arpa"
"373956","12189.360149","172.16.112.20","172.16.112.100","DNS","153","","Standard query response 0x000c No such name PTR 203.54.230.207.in-addr.arpa SOA aesop.world.net"
"373957","12189.360608","172.16.112.100","207.230.54.203","NBNS","92","","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"373958","12189.361622","207.230.54.203","172.16.112.100","ICMP","120","","Destination unreachable (Port unreachable)"
"373959","12189.468551","172.16.114.207","196.37.75.158","TELNET","60","","Telnet Data ..."
"373960","12189.469407","196.37.75.158","172.16.114.207","TELNET","60","","Telnet Data ..."
"373961","12189.487616","172.16.114.207","196.37.75.158","TCP","60","","20585  >  23 [ACK] Seq=3103 Ack=22214 Win=32120 Len=0"
"373962","12189.559156","172.16.114.207","196.37.75.158","TELNET","60","","Telnet Data ..."
"373963","12189.559943","196.37.75.158","172.16.114.207","TELNET","60","","Telnet Data ..."
"373964","12189.577595","172.16.114.207","196.37.75.158","TCP","60","","20585  >  23 [ACK] Seq=3105 Ack=22216 Win=32120 Len=0"
"373965","12189.608597","195.73.151.50","172.16.113.84","TELNET","60","","Telnet Data ..."
"373966","12189.608841","172.16.113.84","195.73.151.50","TELNET","60","","Telnet Data ..."
"373967","12189.628250","195.73.151.50","172.16.113.84","TCP","60","","12353  >  23 [ACK] Seq=1045 Ack=24688 Win=32120 Len=0"
"373968","12189.728797","195.73.151.50","172.16.113.84","TELNET","60","","Telnet Data ..."
"373969","12189.729004","172.16.113.84","195.73.151.50","TELNET","60","","Telnet Data ..."
"373970","12189.748198","195.73.151.50","172.16.113.84","TCP","60","","12353  >  23 [ACK] Seq=1046 Ack=24689 Win=32120 Len=0"
"373971","12189.990309","195.73.151.50","172.16.113.84","TELNET","60","","Telnet Data ..."
"373972","12189.990562","172.16.113.84","195.73.151.50","TELNET","60","","Telnet Data ..."
"373973","12190.008148","195.73.151.50","172.16.113.84","TCP","60","","12353  >  23 [ACK] Seq=1048 Ack=24691 Win=32120 Len=0"
"373974","12190.008374","172.16.113.84","195.73.151.50","TELNET","86","","Telnet Data ..."
"373975","12190.028142","195.73.151.50","172.16.113.84","TCP","60","","12353  >  23 [ACK] Seq=1048 Ack=24723 Win=32120 Len=0"
"373976","12190.211962","196.37.75.158","172.16.114.207","TELNET","117","","Telnet Data ..."
"373977","12190.227465","172.16.114.207","196.37.75.158","TCP","60","","20585  >  23 [ACK] Seq=3105 Ack=22279 Win=32120 Len=0"
"373978","12190.589412","196.37.75.158","172.16.114.207","TELNET","124","","Telnet Data ..."
"373979","12190.607428","172.16.114.207","196.37.75.158","TCP","60","","20585  >  23 [ACK] Seq=3105 Ack=22349 Win=32120 Len=0"
"373980","12190.608585","196.37.75.158","172.16.114.207","TELNET","296","","Telnet Data ..."
"373981","12190.627387","172.16.114.207","196.37.75.158","TCP","60","","20585  >  23 [ACK] Seq=3105 Ack=22591 Win=32120 Len=0"
"373982","12190.742416","172.16.112.50","135.13.216.191","TELNET","60","","[TCP ZeroWindowProbe] Telnet Data ..."
