"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"86","35.187399","192.168.1.30","192.168.0.20","FTP","64","","Request: USER ftp"
"119","36.413941","192.168.1.30","192.168.0.20","FTP","66","","Request: PASS guest"
"125","36.506761","192.168.1.30","192.168.0.20","FTP","60","","Request: SYST"
"145","37.784747","192.168.1.30","192.168.0.20","FTP","79","","Request: PORT 192,168,1,30,6,226"
"147","37.797433","192.168.1.30","192.168.0.20","FTP","63","","Request: LIST -l"
"204","39.181800","192.168.1.30","192.168.0.20","FTP","63","","Request: CWD pub"
"228","40.212111","192.168.1.30","192.168.0.20","FTP","79","","Request: PORT 192,168,1,30,6,231"
"230","40.215926","192.168.1.30","192.168.0.20","FTP","63","","Request: LIST -l"
"254","41.590216","192.168.1.30","192.168.0.20","FTP","67","","Request: CWD updates"
"263","42.572101","192.168.1.30","192.168.0.20","FTP","79","","Request: PORT 192,168,1,30,6,232"
"265","42.577705","192.168.1.30","192.168.0.20","FTP","63","","Request: LIST -l"
"291","45.432278","192.168.1.30","192.168.0.20","FTP","79","","Request: PORT 192,168,1,30,6,234"
"294","45.524563","192.168.1.30","192.168.0.20","FTP","67","","Request: RETR README"
"341","46.811624","192.168.1.30","192.168.0.20","FTP","60","","Request: QUIT"
