"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"594989","16154.732999","172.16.113.204","172.16.112.100","TCP","60","","1173  >  23 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"594990","16154.733200","3comFast_9c:b2:54","Broadcast","ARP","60","","Who has 172.16.113.204? Tell 172.16.112.100"
"594991","16154.733314","Dell_a3:57:db","3comFast_9c:b2:54","ARP","60","","172.16.113.204 is at 00:c0:4f:a3:57:db"
"594992","16154.733416","172.16.112.100","172.16.113.204","TCP","60","","23  >  1173 [SYN, ACK] Seq=0 Ack=1 Win=8760 Len=0 MSS=1460"
"594993","16154.733853","172.16.113.204","172.16.112.100","TCP","60","","1173  >  23 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"594994","16154.734901","172.16.113.204","172.16.112.100","TELNET","81","","Telnet Data ..."
"594995","16154.773392","172.16.112.100","172.16.113.204","TELNET","60","","Telnet Data ..."
"594996","16154.790925","172.16.113.204","172.16.112.100","TCP","60","","1173  >  23 [ACK] Seq=28 Ack=4 Win=32120 Len=0"
"594997","16154.791089","172.16.112.100","172.16.113.204","TELNET","75","","Telnet Data ..."
"594998","16154.791668","172.16.113.204","172.16.112.100","TELNET","75","","Telnet Data ..."
"594999","16154.936178","172.16.112.100","172.16.113.204","TCP","60","","23  >  1173 [ACK] Seq=25 Ack=49 Win=8712 Len=0"
"595000","16155.162791","172.16.113.105","194.7.248.153","TELNET","60","","Telnet Data ..."
"595001","16155.164127","194.7.248.153","172.16.113.105","TELNET","60","","Telnet Data ..."
"595002","16155.182447","172.16.113.105","194.7.248.153","TCP","60","","1306  >  23 [ACK] Seq=1338 Ack=7158 Win=32120 Len=0"
"595003","16155.598022","172.16.112.50","172.16.112.100","TCP","60","","33017  >  25 [FIN, ACK] Seq=1956 Ack=139 Win=8760 Len=0"
"595004","16155.598200","3comFast_9c:b2:54","Broadcast","ARP","60","","Who has 172.16.112.50? Tell 172.16.112.100"
"595005","16155.598408","Sun_89:a5:9f","3comFast_9c:b2:54","ARP","60","","172.16.112.50 is at 08:00:20:89:a5:9f"
"595006","16155.598509","172.16.112.100","172.16.112.50","TCP","60","","25  >  33017 [ACK] Seq=139 Ack=1957 Win=8757 Len=0"
"595007","16155.766958","172.16.112.100","172.16.113.204","TELNET","160","","Telnet Data ..."
