"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"542042","14919.722282","172.16.112.100","172.16.114.50","TCP","60","","4524  >  80 [RST] Seq=299 Win=0 Len=0"
"542043","14919.722372","172.16.112.100","172.16.114.50","TCP","60","","4525  >  80 [RST] Seq=287 Win=0 Len=0"
"542044","14919.722806","172.16.112.100","208.239.5.230","TCP","60","","4482  >  80 [RST] Seq=618 Win=0 Len=0"
"542045","14919.865129","196.37.75.158","172.16.112.50","TELNET","60","","Telnet Data ..."
"542046","14919.906637","172.16.112.50","196.37.75.158","TCP","60","","23  >  22100 [ACK] Seq=4639 Ack=315 Win=8760 Len=0"
"542047","14920.786168","196.37.75.158","172.16.114.169","TCP","60","","23071  >  25 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"542048","14920.786554","172.16.114.169","196.37.75.158","TCP","60","","25  >  23071 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"542049","14920.787346","196.37.75.158","172.16.114.169","TCP","60","","23071  >  25 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"542050","14920.960033","172.16.114.169","196.37.75.158","SMTP","143","","S: 220 swan.eyrie.af.mil Sendmail SMI-8.6/SMI-SVR4 ready at Sat, 7 Aug 1999 12:08:50 -0400"
"542051","14920.973751","196.37.75.158","172.16.114.169","TCP","60","","23071  >  25 [ACK] Seq=1 Ack=90 Win=32120 Len=0"
"542052","14921.247924","196.37.75.158","172.16.114.169","SMTP","79","","C: EHLO jupiter.cherry.org"
"542053","14921.252494","172.16.113.105","194.7.248.153","TELNET","60","","Telnet Data ..."
"542054","14921.252707","172.16.114.169","196.37.75.158","SMTP","80","","S: 500 Command unrecognized"
"542055","14921.253743","194.7.248.153","172.16.113.105","TELNET","60","","Telnet Data ..."
"542056","14921.254561","196.37.75.158","172.16.114.169","SMTP","79","","C: HELO jupiter.cherry.org"
"542057","14921.254830","172.16.114.169","196.37.75.158","SMTP","101","","S: 250 (jupiter.cherry.org) pleased to meet you."
"542058","14921.255950","196.37.75.158","172.16.114.169","SMTP","95","","C: MAIL From:<christoa@jupiter.cherry.org>"
"542059","14921.256220","172.16.114.169","196.37.75.158","SMTP","102","","S: 250 <christoa@jupiter.cherry.org>... Sender Ok"
