"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"152","156.253545","135.13.216.191","172.16.112.100","FTP","64","","Request: CWD bin1"
"153","156.254541","172.16.112.100","135.13.216.191","FTP","83","","Response: 250 CWD command successful."
"154","156.272370","135.13.216.191","172.16.112.100","TCP","60","","1024  >  21 [ACK] Seq=133 Ack=451 Win=32120 Len=0"
"155","157.082999","135.13.216.191","172.16.112.100","FTP","79","","Request: PORT 135,13,216,191,4,4"
"156","157.083291","172.16.112.100","135.13.216.191","FTP","84","","Response: 200 PORT command successful."
"157","157.084247","135.13.216.191","172.16.112.100","FTP","60","","Request: LIST"
"158","157.084528","172.16.112.100","135.13.216.191","FTP","107","","Response: 150 Opening ASCII mode data connection for /bin/ls."
"159","157.085060","172.16.112.100","135.13.216.191","TCP","60","","20  >  1028 [SYN] Seq=0 Win=8192 Len=0 MSS=1460"
"160","157.085849","135.13.216.191","172.16.112.100","TCP","60","","1028  >  20 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"161","157.085959","172.16.112.100","135.13.216.191","TCP","60","","20  >  1028 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"162","157.102208","135.13.216.191","172.16.112.100","TCP","60","","1024  >  21 [ACK] Seq=164 Ack=534 Win=32120 Len=0"
"165","157.124163","172.16.112.100","135.13.216.191","FTP","78","","Response: 226 Transfer complete."
"166","157.132210","135.13.216.191","172.16.112.100","TCP","60","","1028  >  20 [ACK] Seq=1 Ack=2921 Win=30660 Len=0"
"168","157.133460","135.13.216.191","172.16.112.100","TCP","60","","1028  >  20 [ACK] Seq=1 Ack=3197 Win=30384 Len=0"
"169","157.142196","135.13.216.191","172.16.112.100","TCP","60","","1024  >  21 [ACK] Seq=164 Ack=558 Win=32120 Len=0"
"170","157.145642","135.13.216.191","172.16.112.100","TCP","60","","1028  >  20 [FIN, ACK] Seq=1 Ack=3197 Win=32120 Len=0"
"171","157.145793","172.16.112.100","135.13.216.191","TCP","60","","20  >  1028 [ACK] Seq=3197 Ack=2 Win=8760 Len=0"
