"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"101","36.014181","192.168.0.40","192.168.1.30","SMTP","65","","C: HELO locke"
"103","36.016251","192.168.0.40","192.168.1.30","SMTP","80","","C: MAIL From:<charlie@locke>"
"106","36.246134","192.168.0.40","192.168.1.30","SMTP","78","","C: RCPT To:<charlie@spiff>"
"109","36.277434","192.168.0.40","192.168.1.30","SMTP","60","","C: DATA"
"111","36.285732","192.168.0.40","192.168.1.30","SMTP","1514","","C: DATA fragment, 1460 bytes"
"112","36.286965","192.168.0.40","192.168.1.30","SMTP","1514","","C: DATA fragment, 1460 bytes"
"113","36.288200","192.168.0.40","192.168.1.30","SMTP","1514","","C: DATA fragment, 1460 bytes"
"114","36.289437","192.168.0.40","192.168.1.30","SMTP","1514","","C: DATA fragment, 1460 bytes"
"115","36.289833","192.168.0.40","192.168.1.30","SMTP","243","","C: DATA fragment, 189 bytes"
"117","36.295317","192.168.0.40","192.168.1.30","SMTP","60","","C: DATA fragment, 2 bytes"
"122","36.469533","192.168.0.40","192.168.1.30","SMTP","60","","C: DATA fragment, 5 bytes"
