"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"124","152.748147","172.16.112.100","135.13.216.191","FTP-DATA","773","","FTP Data: 719 bytes"
"125","152.748213","172.16.112.100","135.13.216.191","TCP","60","","20  >  1026 [FIN, ACK] Seq=720 Ack=1 Win=8760 Len=0"
"126","152.748299","172.16.112.100","135.13.216.191","FTP","78","","Response: 226 Transfer complete."
"127","152.749496","135.13.216.191","172.16.112.100","TCP","60","","1026  >  20 [ACK] Seq=1 Ack=721 Win=32016 Len=0"
"128","152.757446","135.13.216.191","172.16.112.100","TCP","60","","1026  >  20 [FIN, ACK] Seq=1 Ack=721 Win=32736 Len=0"
"129","152.757592","172.16.112.100","135.13.216.191","TCP","60","","20  >  1026 [ACK] Seq=721 Ack=2 Win=8760 Len=0"
"130","152.763081","135.13.216.191","172.16.112.100","TCP","60","","1024  >  21 [ACK] Seq=83 Ack=286 Win=32120 Len=0"
"131","153.893854","135.13.216.191","172.16.112.100","FTP","63","","Request: CWD usr"
"132","153.894732","172.16.112.100","135.13.216.191","FTP","83","","Response: 250 CWD command successful."
"133","153.912844","135.13.216.191","172.16.112.100","TCP","60","","1024  >  21 [ACK] Seq=92 Ack=315 Win=32120 Len=0"
"134","153.916043","172.16.112.100","172.16.112.10","NTP","90","","NTP Version 1, client"
"135","153.916484","172.16.112.10","172.16.112.100","NTP","90","","NTP Version 1, server"
"136","153.990358","Cisco_38:46:33","Cisco_38:46:33","LOOP","60","000000000000000000000000000000000000000000000000...","Reply"
