"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"140067","7598.379910","172.16.118.70","172.16.112.100","TCP","60","","1114  >  23 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"140068","7598.380123","3comFast_9c:b2:54","Broadcast","ARP","60","","Who has 172.16.118.70? Tell 172.16.112.100"
"140069","7598.380233","Dell_a3:57:db","3comFast_9c:b2:54","ARP","60","","172.16.118.70 is at 00:c0:4f:a3:57:db"
"140070","7598.380335","172.16.112.100","172.16.118.70","TCP","60","","23  >  1114 [SYN, ACK] Seq=0 Ack=1 Win=8760 Len=0 MSS=1460"
"140071","7598.380769","172.16.118.70","172.16.112.100","TCP","60","","1114  >  23 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"140072","7598.386494","172.16.118.70","172.16.112.100","TELNET","81","","Telnet Data ..."
"140073","7598.566520","Cisco_38:46:33","Cisco_38:46:33","LOOP","60","000000000000000000000000000000000000000000000000...","Reply"
"140074","7598.568891","172.16.112.100","172.16.118.70","TCP","60","","23  >  1114 [ACK] Seq=1 Ack=28 Win=8733 Len=0"
"140075","7598.705999","172.16.112.100","172.16.118.70","TELNET","60","","Telnet Data ..."
"140076","7598.723620","172.16.118.70","172.16.112.100","TCP","60","","1114  >  23 [ACK] Seq=28 Ack=4 Win=32120 Len=0"
"140077","7598.723799","172.16.112.100","172.16.118.70","TELNET","75","","Telnet Data ..."
"140078","7598.724358","172.16.118.70","172.16.112.100","TELNET","75","","Telnet Data ..."
"140079","7598.896955","172.16.112.100","172.16.118.70","TCP","60","","23  >  1114 [ACK] Seq=25 Ack=49 Win=8712 Len=0"
"140080","7599.696317","172.16.112.100","172.16.118.70","TELNET","160","","Telnet Data ..."
"140081","7599.713362","172.16.118.70","172.16.112.100","TCP","60","","1114  >  23 [ACK] Seq=49 Ack=131 Win=32120 Len=0"
"140082","7599.713769","172.16.112.100","172.16.118.70","TELNET","345","","Telnet Data ..."
"140083","7599.715535","172.16.118.70","172.16.112.100","TELNET","65","","Telnet Data ..."
"140084","7599.881163","172.16.112.100","172.16.118.70","TCP","60","","23  >  1114 [ACK] Seq=422 Ack=60 Win=8701 Len=0"
"140085","7599.955471","172.16.117.111","131.84.1.31","TCP","60","","16939  >  80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"140086","7599.959652","131.84.1.31","172.16.117.111","TCP","60","","80  >  16939 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"140087","7599.959843","172.16.117.111","131.84.1.31","TCP","60","","16939  >  80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"140088","7599.960272","172.16.117.111","131.84.1.31","HTTP","226","","GET /aflinkjr/jr.htm HTTP/1.0 "
"140089","7599.978340","131.84.1.31","172.16.117.111","TCP","1078","","[TCP segment of a reassembled PDU]"
"140090","7599.978627","131.84.1.31","172.16.117.111","HTTP","334","","HTTP/1.1 200 OK  (text/html)"
"140091","7599.978696","131.84.1.31","172.16.117.111","TCP","60","","80  >  16939 [FIN, ACK] Seq=1305 Ack=173 Win=32736 Len=0"
"140092","7599.978836","172.16.117.111","131.84.1.31","TCP","60","","16939  >  80 [ACK] Seq=173 Ack=1306 Win=30815 Len=0"
"140093","7599.979269","172.16.117.111","131.84.1.31","TCP","60","","16939  >  80 [FIN, ACK] Seq=173 Ack=1306 Win=32120 Len=0"
"140094","7599.983101","131.84.1.31","172.16.117.111","TCP","60","","80  >  16939 [ACK] Seq=1306 Ack=174 Win=32735 Len=0"
"140095","7599.983870","172.16.117.111","131.84.1.31","TCP","60","","16940  >  80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"140096","7599.986643","131.84.1.31","172.16.117.111","TCP","60","","80  >  16940 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"140097","7599.986797","172.16.117.111","131.84.1.31","TCP","60","","16940  >  80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"140098","7599.987169","172.16.117.111","131.84.1.31","HTTP","234","","GET /aflinkjr/blankblack.htm HTTP/1.0 "
"140099","7600.002910","131.84.1.31","172.16.117.111","HTTP","384","","HTTP/1.1 200 OK  (text/html)HTTP/1.1 200 OK "
"140100","7600.002978","131.84.1.31","172.16.117.111","TCP","60","","80  >  16940 [FIN, ACK] Seq=331 Ack=181 Win=32736 Len=0"
"140101","7600.003107","172.16.117.111","131.84.1.31","TCP","60","","16940  >  80 [ACK] Seq=181 Ack=332 Win=31789 Len=0"
